iteration,type,id,money
1,agent,G0,21750000.00
1,agent,G1,43736333.23
1,agent,G2,17894333.23
1,agent,G3,9600000.00
1,agent,G4,5760000.00
1,agent,G5,48100000.00
1,agent,G6,550000.00
1,agent,G7,18040000.00
1,agent,G8,61265442.67
1,agent,G9,19720000.00
1,firm,F0,62000000.00
1,firm,F1,85000000.00
1,firm,F2,25000000.00
1,firm,F3,61000000.00
1,firm,F4,25000000.00
1,firm,F5,22000000.00
1,firm,F6,61000000.00
1,firm,F7,25119333.53
1,firm,F8,24000000.00
1,firm,F9,92037531.33
10,agent,G0,33359855.26
10,agent,G1,53174245.32
10,agent,G2,5336145.42
10,agent,G3,17906870.36
10,agent,G4,5852613.43
10,agent,G5,50804925.02
10,agent,G6,80930.04
10,agent,G7,21861818.70
10,agent,G8,36869516.07
10,agent,G9,11292285.98
10,firm,F0,62651423.32
10,firm,F1,85000000.00
10,firm,F2,25385805.32
10,firm,F3,66543395.69
10,firm,F4,26441427.97
10,firm,F5,26722280.51
10,firm,F6,64084982.99
10,firm,F7,26949223.38
10,firm,F8,24670888.91
10,firm,F9,92037531.33
20,agent,G0,22132883.12
20,agent,G1,69531408.41
20,agent,G2,4980314.21
20,agent,G3,8924871.30
20,agent,G4,1859254.68
20,agent,G5,64844598.49
20,agent,G6,5240897.87
20,agent,G7,24252495.02
20,agent,G8,12105207.64
20,agent,G9,4050844.73
20,firm,F0,67490424.23
20,firm,F1,86054384.61
20,firm,F2,26286491.48
20,firm,F3,70519674.82
20,firm,F4,27870979.42
20,firm,F5,36257029.16
20,firm,F6,64732893.31
20,firm,F7,27887050.55
20,firm,F8,29838218.99
20,firm,F9,98555385.96
30,agent,G0,22132883.12
30,agent,G1,40800626.71
30,agent,G2,1701561.35
30,agent,G3,37215340.71
30,agent,G4,3529651.83
30,agent,G5,60242535.06
30,agent,G6,698722.56
30,agent,G7,32894870.54
30,agent,G8,7033529.51
30,agent,G9,735053.96
30,firm,F0,73597005.04
30,firm,F1,87788547.61
30,firm,F2,35493038.49
30,firm,F3,70563298.18
30,firm,F4,34186433.41
30,firm,F5,36257029.16
30,firm,F6,67543857.56
30,firm,F7,28114879.99
30,firm,F8,31383764.24
30,firm,F9,98555385.96
40,agent,G0,24240888.67
40,agent,G1,35818046.25
40,agent,G2,320516.89
40,agent,G3,34552258.87
40,agent,G4,3612138.93
40,agent,G5,35147663.70
40,agent,G6,14798650.70
40,agent,G7,17030317.32
40,agent,G8,28042833.05
40,agent,G9,183225.25
40,firm,F0,73700849.08
40,firm,F1,89037539.21
40,firm,F2,35493038.49
40,firm,F3,70847910.96
40,firm,F4,34855727.87
40,firm,F5,41830098.73
40,firm,F6,72861585.94
40,firm,F7,28425373.92
40,firm,F8,38505091.98
40,firm,F9,104950361.19
50,agent,G0,10567462.45
50,agent,G1,42464005.99
50,agent,G2,4244924.46
50,agent,G3,4319932.00
50,agent,G4,11263446.43
50,agent,G5,21111983.62
50,agent,G6,28788156.09
50,agent,G7,17234700.68
50,agent,G8,33853155.93
50,agent,G9,7708989.51
50,firm,F0,74036831.71
50,firm,F1,89059252.21
50,firm,F2,39351922.79
50,firm,F3,71919087.51
50,firm,F4,39263947.11
50,firm,F5,45141844.43
50,firm,F6,73400238.21
50,firm,F7,34171697.28
50,firm,F8,44046064.61
50,firm,F9,108798337.98
60,agent,G0,5316837.41
60,agent,G1,17832615.73
60,agent,G2,15614472.17
60,agent,G3,306973.59
60,agent,G4,4986452.51
60,agent,G5,20133543.92
60,agent,G6,16208892.69
60,agent,G7,25276093.20
60,agent,G8,32371536.88
60,agent,G9,29258324.37
60,firm,F0,74230540.57
60,firm,F1,90330157.20
60,firm,F2,39351922.79
60,firm,F3,74132018.14
60,firm,F4,44527760.97
60,firm,F5,48842865.28
60,firm,F6,82599094.25
60,firm,F7,42342457.09
60,firm,F8,49086018.04
60,firm,F9,110353205.21
70,agent,G0,5771507.80
70,agent,G1,9973652.67
70,agent,G2,14891853.11
70,agent,G3,8692853.42
70,agent,G4,6409154.24
70,agent,G5,12560727.06
70,agent,G6,20258980.69
70,agent,G7,31676317.09
70,agent,G8,27708248.64
70,agent,G9,21001799.21
70,firm,F0,76857641.55
70,firm,F1,90330157.20
70,firm,F2,40980718.28
70,firm,F3,74132018.14
70,firm,F4,49977512.96
70,firm,F5,57122504.45
70,firm,F6,84272937.79
70,firm,F7,45478833.20
70,firm,F8,57194486.17
70,firm,F9,111768720.31
80,agent,G0,8511200.31
80,agent,G1,12443221.39
80,agent,G2,15429025.47
80,agent,G3,1243684.90
80,agent,G4,2037655.61
80,agent,G5,20860800.78
80,agent,G6,19057692.69
80,agent,G7,19144035.09
80,agent,G8,7842097.77
80,agent,G9,33623284.30
80,firm,F0,78058929.55
80,firm,F1,93369835.46
80,firm,F2,46530890.51
80,firm,F3,75600408.10
80,firm,F4,52718059.60
80,firm,F5,58397408.26
80,firm,F6,85340973.34
80,firm,F7,46277560.20
80,firm,F8,62165687.21
80,firm,F9,114099503.46
90,agent,G0,16275900.94
90,agent,G1,14207707.52
90,agent,G2,12847042.38
90,agent,G3,7136459.31
90,agent,G4,8836511.71
90,agent,G5,11798386.29
90,agent,G6,8882298.33
90,agent,G7,14317440.98
90,agent,G8,11106333.49
90,agent,G9,22675769.09
90,firm,F0,79425460.25
90,firm,F1,94242749.34
90,firm,F2,51805033.26
90,firm,F3,75754985.41
90,firm,F4,57637837.84
90,firm,F5,59615583.34
90,firm,F6,85937740.06
90,firm,F7,48167092.79
90,firm,F8,68823003.30
90,firm,F9,116634530.36
100,agent,G0,17008832.49
100,agent,G1,14553363.69
100,agent,G2,19434107.85
100,agent,G3,4262865.09
100,agent,G4,5119607.18
100,agent,G5,6625492.34
100,agent,G6,3572627.47
100,agent,G7,16783661.27
100,agent,G8,4743531.94
100,agent,G9,27388958.19
100,firm,F0,80069539.70
100,firm,F1,98302819.18
100,firm,F2,55467020.35
100,firm,F3,78457840.81
100,firm,F4,60696226.02
100,firm,F5,59615583.34
100,firm,F6,85937740.06
100,firm,F7,48167092.79
100,firm,F8,69722339.87
100,firm,F9,116634530.36
110,agent,G0,8441069.22
110,agent,G1,8728093.64
110,agent,G2,21641702.63
110,agent,G3,1683868.92
110,agent,G4,7755597.55
110,agent,G5,26709352.48
110,agent,G6,776727.91
110,agent,G7,5024885.07
110,agent,G8,3661489.49
110,agent,G9,17718485.62
110,firm,F0,86423206.58
110,firm,F1,99331461.37
110,firm,F2,60571605.35
110,firm,F3,78545494.84
110,firm,F4,67288511.21
110,firm,F5,59806582.78
110,firm,F6,86418316.33
110,firm,F7,59051261.34
110,firm,F8,70104067.48
110,firm,F9,117213832.19
120,agent,G0,9096734.89
120,agent,G1,4895583.32
120,agent,G2,21641702.63
120,agent,G3,3783219.51
120,agent,G4,4395868.72
120,agent,G5,15673834.99
120,agent,G6,439747.85
120,agent,G7,7151474.62
120,agent,G8,11584548.72
120,agent,G9,20066554.53
120,firm,F0,90578803.58
120,firm,F1,99746699.41
120,firm,F2,60571605.35
120,firm,F3,78944454.44
120,firm,F4,67996241.45
120,firm,F5,60085205.21
120,firm,F6,86418316.33
120,firm,F7,59470586.43
120,firm,F8,70865216.83
120,firm,F9,117904940.19
130,agent,G0,17907372.41
130,agent,G1,1655058.68
130,agent,G2,13392014.13
130,agent,G3,1931776.33
130,agent,G4,3133392.60
130,agent,G5,10496435.05
130,agent,G6,3805081.55
130,agent,G7,3245529.91
130,agent,G8,6742227.48
130,agent,G9,29829459.26
130,firm,F0,91022342.93
130,firm,F1,104207805.22
130,firm,F2,61127127.82
130,firm,F3,78944454.44
130,firm,F4,71951061.94
130,firm,F5,61183664.09
130,firm,F6,86418316.33
130,firm,F7,60865323.44
130,firm,F8,73313872.50
130,firm,F9,119261492.88
140,agent,G0,10225836.86
140,agent,G1,1636452.07
140,agent,G2,9383704.32
140,agent,G3,2595378.54
140,agent,G4,2559343.65
140,agent,G5,13825281.08
140,agent,G6,1479158.31
140,agent,G7,1912367.68
140,agent,G8,7251381.63
140,agent,G9,35672411.32
140,firm,F0,92412458.72
140,firm,F1,107474625.58
140,firm,F2,62209461.52
140,firm,F3,78954746.70
140,firm,F4,73693297.63
140,firm,F5,63006990.29
140,firm,F6,86500486.67
140,firm,F7,61072118.60
140,firm,F8,73313872.50
140,firm,F9,120404548.35
150,agent,G0,11680035.39
150,agent,G1,1850894.94
150,agent,G2,4273824.32
150,agent,G3,3364878.25
150,agent,G4,1589446.75
150,agent,G5,6779054.71
150,agent,G6,9345969.01
150,agent,G7,1008097.48
150,agent,G8,6303967.02
150,agent,G9,34664698.49
150,firm,F0,94959283.35
150,firm,F1,108098070.78
150,firm,F2,63641383.35
150,firm,F3,79433035.80
150,firm,F4,74469322.07
150,firm,F5,63386301.64
150,firm,F6,88110381.93
150,firm,F7,63266006.65
150,firm,F8,73656352.70
150,firm,F9,120404548.35
160,agent,G0,8495403.05
160,agent,G1,-1250423.35
160,agent,G2,2814649.10
160,agent,G3,21948000.43
160,agent,G4,1966300.09
160,agent,G5,1967575.56
160,agent,G6,6878808.04
160,agent,G7,1045596.58
160,agent,G8,5180246.28
160,agent,G9,22142180.02
160,firm,F0,95051102.93
160,firm,F1,109895352.17
